npa_id,create_date,cycle_time,created_day_of_week,created_month,created_year,days_before_effective_date,orders_last_week,has_run_payroll,sic_code,tax_payer_type,taxable_as_scorp,wc_status,state,count_work_states,days_after_joined_gusto,days_after_est_founding,count_policies,count_carriers,count_medical_carriers,medical_carrier,dental_carrier,contains_long_tail_carrier,has_dental,has_vision,has_lidi,hsa_selected,has_fsa_dca,active_employees,eligible_employees,primary_payroll_admin_age,has_integrations,failed_filing_last_12_month,growth_rate_last_year,had_previous_payroll_provider,months_from_join_date,user_provided_industry,industry_classification,invoice_count,last_month_subscription_revenue,number_of_eins,multi_ein,count_address_changes_last_year,number_of_employees_logging_in_last_month,number_of_employee_logins_last_month,number_of_terminations_last_month,number_of_payroll_employees_last_month,estimated_annual_income_per_employee_last_month,has_active_workers_comp,running_total_number_of_benefits_care_cases,running_total_number_of_payroll_care_cases,running_total_number_of_cases,running_total_number_of_emails,running_total_number_of_irs_notice_reasons,amendments_last_12_month,number_of_admin_failed_logins,number_of_calls_last_month,number_of_chats_last_month,product_plan,time_to_onboard_in_days,time_to_first_payroll_in_days,prev_company_suspension,ee_average_age,count_ee_twenty_six_and_over_in_last_year,count_ee_under_twenty_six_in_last_year,count_single_employees_in_last_year,count_non_single_employees_in_last_year,count_ee_commuter_in_last_year,count_ee_home_states_in_last_year,count_ee_work_states_in_last_year,count_ee_work_home_state_diff_in_last_year,count_ee_more_than_1_job_in_last_year,count_ee_terminations_in_last_year,count_ee_touchpoints_in_last_year,count_ee_hires_in_last_year,count_401k_ees_in_last_year,count_529_ees_in_last_year,change_in_number_of_hires_last_month,change_in_number_of_termination_last_month,change_in_number_of_ee_logins_last_month,change_in_number_of_calls_last_month,change_in_number_of_admin_logins_last_month,change_in_estimated_annual_income_per_employee_last_month,selected_medical_base_tier,start_date_changed,deadline_override
41119,2020-09-15 10:55,60341.16,2.0,10.0,2020.0,-42,149,1,7371,C-Corporation,0,has_zp_policy,VA,4,70,80,3,2,1,UnitedHealthcare,Guardian,0,1,1,0,0,0,4,4,31,1,0,0.0,0,0,Technology,Desk,1,0.0,0,0,2,2,37,0,2,79722.84,0,0,0,0,0,0,0,4,0,0,complete,13,37,0,33.5,2,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0.0,gold,0,0
37363,2020-07-08 16:18,49974.71,4.0,7.0,2020.0,-16,87,1,6732,Non-Profit,0,external_policy,GA,1,142,731,4,2,1,UnitedHealthcare,Guardian,0,1,1,0,0,0,4,3,49,0,0,0.0,0,3,Non-Profits   Associations,Desk,3,87.0,0,0,1,3,42,0,4,32203.56,0,0,3,6,0,0,0,1,0,0,complete,13,50,0,48.75,16,0,5,5,0,1,1,0,0,0,17,0,0,0,0,0,5,0,-5,5730.96,silver,0,1
43070,2020-10-06 06:00,74711.06,5.0,10.0,2020.0,-32,164,1,5963,LLC,0,no_policy,GA,2,31,15,5,2,1,UnitedHealthcare,Guardian,0,1,0,1,0,0,2,2,,0,0,0.0,0,-1,Retail,POS,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,unknown_product_plan,27,35,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,silver,0,0
51550,2021-01-06 00:26,28870.73,3.0,1.0,2021.0,-54,175,1,5136,S-Corporation,1,has_zp_policy,CA,2,392,383,3,1,1,UnitedHealthcare,no_dental_carrier,0,0,0,0,0,0,8,7,33,1,0,0.0,0,12,Retail,POS,12,87.0,0,0,3,4,28,1,8,79104.675,1,0,1,26,25,0,0,0,0,0,core,9,22,0,28.6935483870968,53,9,48,12,0,2,2,3,0,5,0,11,32,0,2,1,19,0,10,-40250.1821,silver,0,0
36641,2020-06-18 16:11,96180.41,5.0,10.0,2020.0,-70,149,1,8099,S-Corporation,1,eligible_for_renewal,CA,1,219,1215,3,2,1,Anthem Blue Cross,Guardian,0,1,0,0,0,0,11,8,33,0,0,0.0,1,2,Healthcare   Social Assistance,Desk,7,159.0,0,0,2,10,328,1,10,62786.698,0,0,1,15,5,0,0,3,0,0,complete,5,14,0,29.7096774193548,48,14,10,4,0,1,1,0,0,2,0,6,0,0,0,1,-34,-1,6,-7227.532,gold,0,1
56951,2021-02-28 07:02,41770.33,3.0,3.0,2021.0,-31,114,1,7389,LLC,0,has_zp_policy,IL,2,33,30,8,2,1,Blue Cross Blue Shield,Guardian,0,1,1,0,0,0,4,4,,0,0,0.0,0,-1,Finance   Insurance,Desk,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,unknown_product_plan,10,17,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,platinum,0,0
55182,2021-03-02 23:11,31524.7,1.0,3.0,2021.0,-33,114,1,5461,LLC,0,no_policy,AR,1,564,551,1,1,1,UnitedHealthcare,no_dental_carrier,0,0,0,0,0,0,6,1,26,0,0,-0.375,0,17,Food   Beverage,POS,17,127.0,0,0,1,3,2,0,5,38133.472,0,0,8,16,2,0,0,1,0,0,complete,6,20,0,31.5,26,28,42,12,0,1,1,0,4,8,0,10,0,0,0,0,-4,0,1,1574.716,silver,0,0
55992,2021-03-03 07:04,39077.23,2.0,3.0,2021.0,-39,133,1,6282,C-Corporation,0,no_policy,WA,1,22,15,6,2,1,UnitedHealthcare,Guardian,0,1,1,1,0,0,8,8,,0,0,0.0,0,0,Real Estate,Desk,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,unknown_product_plan,1,11,0,40.6,5,0,1,4,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0.0,gold,0,0
49758,2020-12-08 01:16,101878.16,4.0,12.0,2020.0,-46,148,1,6541,S-Corporation,1,no_policy,WA,1,73,351,3,2,1,Kaiser Permanente,Guardian,0,1,0,0,0,0,3,3,41,0,0,0.0,1,2,Real Estate,Desk,2,40.8,0,0,0,1,5,0,2,170768.65,0,0,0,0,0,0,0,6,0,0,core,3,4,0,42.4444444444444,9,0,3,6,0,0,1,0,0,0,0,0,9,0,0,0,-5,0,128,44149.95,silver,0,0
41768,2020-09-29 21:17,20519.56,3.0,9.0,2020.0,-32,90,1,7991,LLC,0,quoting,NY,2,1538,1479,3,1,1,UnitedHealthcare,no_dental_carrier,0,0,0,0,0,0,2,1,66,0,0,-0.5238095238095238,0,48,Entertainment   Recreation,POS,48,99.0,0,0,1,0,0,0,2,168000.0,0,0,22,36,16,0,0,0,1,0,core,33,48,0,45.4117647058824,17,0,3,8,0,1,2,7,0,0,0,1,0,0,0,0,0,1,-1,168000.0,gold,0,0
40177,2020-08-31 18:39,24890.46,2.0,9.0,2020.0,-16,69,1,7389,LLC,0,has_zp_policy,CO,2,38,46,3,2,1,Humana,Beam,0,1,1,0,0,0,2,2,,0,0,0.0,0,-1,Professional Services,Desk,0,0.0,0,0,2,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,unknown_product_plan,23,34,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,gold,0,1
41686,2020-09-29 15:18,33064.08,3.0,11.0,2020.0,-51,159,1,5722,C-Corporation,0,has_zp_policy,NY,1,582,673,3,2,1,Empire Blue Cross and Blue Shield,Guardian,0,1,0,0,0,0,5,3,35,0,0,2.5,1,17,Retail,POS,19,123.0,0,0,4,5,14,0,5,61507.94,1,0,10,41,28,1,0,0,1,1,complete,1,8,0,26.3666666666667,16,14,24,0,0,3,1,14,0,4,0,8,0,0,-2,0,-8,-3,17,49786.23,silver,0,0
36298,2020-06-10 18:44,48918.0,3.0,6.0,2020.0,-21,52,1,0752,Sole proprietor,0,eligible_for_renewal,NC,2,129,8561,3,3,1,UnitedHealthcare,Guardian,0,1,1,0,0,0,14,10,47,1,0,0.0,0,4,Facilities,Non-Desk,4,0.0,0,0,3,8,45,0,11,0.0,0,0,1,2,1,0,0,0,0,0,complete,1,18,0,33.0338983050847,42,17,36,18,0,5,2,17,0,2,1,15,0,0,0,0,0,0,0,0.0,gold,0,1
