npa_id,create_date,cycle_time_from_er_confirm,cycle_time_from_benefit_order,difot,created_day_of_week,created_month,created_year,days_before_effective_date,orders_last_week,has_run_payroll,sic_code,tax_payer_type,taxable_as_scorp,wc_status,state,count_work_states,days_after_joined_gusto,days_after_est_founding,count_policies,count_carriers,count_medical_carriers,medical_carrier,dental_carrier,has_composite_scheme,contains_long_tail_carrier,has_dental,has_vision,has_lidi,hsa_selected,has_fsa_dca,active_employees,eligible_employees,payroll_count,primary_payroll_admin_age,has_integrations,failed_filing_last_12_month,growth_rate_last_year,had_previous_payroll_provider,months_from_join_date,user_provided_industry,industry_classification,invoice_count,last_month_subscription_revenue,number_of_eins,multi_ein,count_address_changes_last_year,number_of_employees_logging_in_last_month,number_of_employee_logins_last_month,number_of_terminations_last_month,number_of_payroll_employees_last_month,estimated_annual_income_per_employee_last_month,has_active_workers_comp,running_total_number_of_benefits_care_cases,running_total_number_of_payroll_care_cases,running_total_number_of_cases,running_total_number_of_emails,running_total_number_of_irs_notice_reasons,amendments_last_12_month,number_of_admin_failed_logins,number_of_calls_last_month,number_of_chats_last_month,product_plan,time_to_onboard_in_days,time_to_first_payroll_in_days,prev_company_suspension,ee_average_age,count_ee_twenty_six_and_over_in_last_year,count_ee_under_twenty_six_in_last_year,count_single_employees_in_last_year,count_non_single_employees_in_last_year,count_ee_commuter_in_last_year,count_ee_home_states_in_last_year,count_ee_work_states_in_last_year,count_ee_work_home_state_diff_in_last_year,count_ee_more_than_1_job_in_last_year,count_ee_terminations_in_last_year,count_ee_touchpoints_in_last_year,count_ee_hires_in_last_year,count_401k_ees_in_last_year,count_529_ees_in_last_year,change_in_number_of_hires_last_month,change_in_number_of_termination_last_month,change_in_number_of_ee_logins_last_month,change_in_number_of_calls_last_month,change_in_number_of_admin_logins_last_month,change_in_estimated_annual_income_per_employee_last_month,selected_medical_base_tier,start_date_changed,deadline_override
37484,2020-07-09 17:55,35,34,1,2.0,7.0,2020.0,-49,87,1,3679,LLC,0,has_zp_policy,CA,1,300,316,4,2,1,Kaiser Permanente,Guardian,0,0,1,0,0,0,0,3,2,25,53,0,0,0.0,0,10,Manufacturing,Non-Desk,10,57.0,0,0,1,0,0,0,3,118997.32,0,0,3,10,7,0,0,0,0,0,core,3,7,0,37.6521739130435,14,9,2,5,0,1,1,0,0,0,9,1,0,0,0,0,0,0,0,0.0,silver,0,0
47325,2020-11-12 21:25,25,21,1,1.0,11.0,2020.0,-46,239,1,7812,C-Corporation,0,no_policy,NY,6,24,42,4,3,1,UnitedHealthcare,Beam,0,0,1,1,1,0,0,4,4,14,,0,0,0.0,0,0,Entertainment   Recreation,Desk,0,0.0,0,0,3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,unknown_product_plan,21,24,0,31.3333333333333,3,0,2,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0.0,platinum,0,0
42871,2020-10-06 18:51,21,20,1,2.0,10.0,2020.0,-42,149,1,7389,S-Corporation,1,has_zp_policy,CA,2,1404,3336,3,2,1,Blue Shield of California,Guardian,0,0,1,1,0,0,0,2,2,99,39,0,0,1.0,1,45,Professional Services,Desk,45,63.0,0,0,1,1,6,0,2,130000.08,1,3,20,27,26,0,0,0,0,0,core,32,47,0,32.6111111111111,18,0,0,8,0,0,1,0,0,0,2,0,0,0,0,0,-2,0,-2,65000.04,silver,0,0
49360,2020-12-02 17:35,49,49,1,2.0,12.0,2020.0,-55,261,1,5065,S-Corporation,1,no_policy,TX,1,399,2898,3,1,1,UnitedHealthcare,no_dental_carrier,0,0,0,0,0,0,0,10,10,44,41,0,0,0.2222222222222222,1,13,Wholesale,Non-Desk,14,84.0,0,0,1,3,4,1,11,120124.248,0,0,0,3,3,0,0,7,0,0,core,20,24,0,41.3670886075949,158,0,74,54,0,1,1,0,0,4,0,16,0,0,-1,1,-3,0,-10,14422.4008,silver,0,0
49360,2020-12-02 17:35,49,49,1,2.0,12.0,2020.0,-55,261,1,5065,S-Corporation,1,no_policy,TX,1,399,2898,3,1,1,UnitedHealthcare,no_dental_carrier,0,0,0,0,0,0,0,10,10,44,41,0,0,0.2222222222222222,1,13,Wholesale,Non-Desk,13,84.0,0,0,1,4,7,0,11,105701.8472,0,0,0,1,1,0,0,8,0,0,core,20,24,0,41.3670886075949,158,0,74,54,0,1,1,0,0,4,0,16,0,0,1,0,6,0,-46,-6877.8808,silver,0,0
53313,2021-01-26 08:55,35,35,0,1.0,2.0,2021.0,-28,153,1,4813,LLC,1,has_zp_policy,NV,4,7,957,8,3,1,Anthem Blue Cross,Guardian,0,0,1,1,2,0,0,9,9,2,,0,0,0.0,0,-1,Technology,Desk,0,0.0,0,0,2,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,unknown_product_plan,4,18,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,gold,0,1
53228,2021-01-30 04:29,33,30,1,2.0,2.0,2021.0,-58,153,1,8049,LLC,0,has_zp_policy,OK,2,593,579,2,2,1,Blue Cross Blue Shield,no_dental_carrier,0,0,0,0,1,0,0,9,2,55,26,1,0,-0.1111111111111111,0,17,Healthcare   Social Assistance,Desk,18,245.0,0,0,1,9,23,0,8,24162.6125,1,0,0,19,4,0,0,18,3,0,concierge,51,53,0,22.734375,4,60,53,8,0,1,1,0,0,3,0,10,48,0,0,0,10,3,-59,-5368.74,gold,0,1
38002,2020-07-22 21:37,56,56,0,4.0,7.0,2020.0,-33,90,1,8082,LLC,0,switch_bor,MI,1,1948,3133,3,2,1,UnitedHealthcare,Guardian,1,0,1,0,0,0,0,4,4,215,56,1,0,-0.5,0,62,Healthcare   Social Assistance,Desk,62,99.0,0,0,1,4,8,0,4,28853.49,0,0,80,123,87,0,0,10,0,0,complete,27,37,0,47.1621621621622,37,0,2,3,0,1,1,0,0,6,3,2,21,0,0,0,-3,0,-7,1254.15,silver,0,0
37624,2020-07-06 17:14,25,25,1,5.0,7.0,2020.0,-32,90,1,8351,LLC,0,has_zp_policy,TX,1,29,1237,3,1,1,Blue Cross Blue Shield,no_dental_carrier,0,0,0,0,0,0,0,7,6,7,,0,0,0.0,0,0,Healthcare   Social Assistance,Desk,0,0.0,0,0,2,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,unknown_product_plan,6,11,0,43.0,4,1,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,silver,0,0
46767,2020-11-09 17:35,62,60,0,5.0,11.0,2020.0,-49,159,1,8742,C-Corporation,0,has_zp_policy,TX,3,61,41,5,3,1,Anthem Blue Cross,Beam,0,0,1,1,1,0,0,6,6,9,35,1,0,0.0,0,1,Professional Services,Desk,1,31.0,0,0,1,2,5,0,2,424999.92,1,0,0,1,0,0,0,0,1,0,basic,0,34,0,32.5,4,0,2,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0.0,platinum,0,1
49982,2020-12-10 02:36,46,40,1,3.0,12.0,2020.0,-47,148,1,8041,S-Corporation,1,no_policy,IL,1,840,827,4,2,1,Blue Cross Blue Shield,no_dental_carrier,0,0,0,1,0,0,0,3,3,72,29,0,0,1.0,0,27,Healthcare   Social Assistance,Desk,27,63.0,0,0,1,1,1,0,2,13536.0,0,0,8,9,0,0,0,3,0,0,core,1,15,0,35.25,19,5,21,0,0,1,1,0,0,1,0,2,1,0,0,0,1,0,-2,0.0,gold,0,0
55401,2021-03-05 20:00,40,27,1,4.0,4.0,2021.0,-30,114,1,7372,C-Corporation,0,has_zp_policy,VA,4,67,268,4,2,1,UnitedHealthcare,Guardian,0,0,1,1,1,0,0,5,5,7,60,0,0,0.0,0,2,Technology,Desk,3,69.0,0,0,4,3,13,0,5,80769.264,0,0,1,2,2,0,0,1,0,0,core,0,18,0,43.4545454545455,6,5,5,6,0,0,3,0,0,0,0,3,0,0,2,0,13,0,15,-59230.776,gold,0,0
39419,2020-07-24 15:42,22,17,0,1.0,8.0,2020.0,-8,135,1,8351,C-Corporation,0,no_policy,MA,1,134,870,2,2,1,Oxford Health Plan (UnitedHealthcare),no_dental_carrier,0,0,0,1,0,1,0,3,3,4,28,0,0,0.0,0,3,Healthcare   Social Assistance,Desk,4,155.55,0,0,0,1,0,0,1,366080.0,0,0,1,5,1,0,0,22,1,1,complete,108,20,0,27.0,12,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,-14,366080.0,silver,0,1
43451,2020-10-13 14:43,28,25,1,1.0,10.0,2020.0,-43,149,1,8111,S-Corporation,1,external_policy,MD,1,67,9116,5,2,1,CareFirst,no_dental_carrier,0,0,0,1,1,0,0,2,2,24,62,0,0,0.0,1,2,Professional Services,Desk,2,51.0,0,0,0,1,7,0,2,119999.88,0,0,0,1,0,0,0,2,0,0,core,7,10,0,57.0,6,0,6,0,0,1,1,0,0,0,0,0,0,0,0,0,-8,-1,-6,59999.94,silver,0,0
42833,2020-09-14 15:58,28,27,1,5.0,10.0,2020.0,-53,191,1,7372,C-Corporation,0,has_zp_policy,CA,1,27,1303,5,2,1,Kaiser Permanente,Guardian,0,0,1,1,0,0,0,3,3,5,31,0,0,0.0,0,0,Technology,Desk,1,51.0,0,0,0,1,2,0,2,60000.0,0,0,0,3,2,0,0,0,1,0,core,12,19,0,29.0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,gold,0,0
38722,2020-08-07 17:25,28,28,1,3.0,8.0,2020.0,-43,94,1,8111,Sole proprietor,0,has_zp_policy,AZ,1,329,506,5,2,1,UnitedHealthcare,Beam,0,0,1,1,0,0,0,7,7,40,57,1,0,0.0,0,10,Professional Services,Desk,10,75.0,0,0,3,3,8,0,6,112377.1257,0,0,0,1,1,0,0,2,0,0,core,1,9,0,33.7777777777778,45,0,13,15,0,1,1,0,0,4,0,8,30,0,-1,-1,-20,0,4,-8206.9418,silver,0,0
40560,2020-08-25 22:36,22,22,0,3.0,9.0,2020.0,-22,134,1,2099,C-Corporation,0,eligible_for_renewal,CA,10,236,8,3,2,1,UnitedHealthcare,Guardian,0,0,1,1,0,0,0,6,6,7,,0,0,0.0,0,-1,Wholesale,Non-Desk,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,unknown_product_plan,235,257,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,platinum,0,1
48171,2020-11-19 02:49,41,41,1,4.0,11.0,2020.0,-43,239,1,7231,LLC,0,no_policy,NJ,1,387,395,2,2,1,Oxford Health Plan (UnitedHealthcare),Principal,0,0,1,0,0,0,0,18,18,35,54,0,0,0.0,0,12,Personal Services,POS,12,141.0,0,0,1,15,75,1,17,25220.1035,0,0,5,11,8,0,0,1,0,0,core,1,17,0,27.9366197183099,61,81,104,16,0,1,1,2,0,17,47,14,0,0,1,1,20,0,13,172.4235,silver,0,0
