,cycle_time_from_er_confirm,predicted_cycle_time
0,25,44.215214
1,56,38.389606
2,40,33.159878
3,28,39.766376
4,44,37.384373
5,48,45.23264
6,49,55.004402
7,17,24.689837
8,61,37.82071
9,43,35.255795
10,13,28.171972
11,56,50.712883
12,31,32.95972
13,47,52.28516
14,27,29.693254
15,38,33.318897
16,24,31.495113
17,65,61.457092
18,22,21.678377
19,38,34.457733
20,22,23.160583
21,40,33.781483
22,41,50.010834
23,12,24.744076
24,35,34.303566
25,38,46.41257
26,58,32.758442
27,34,32.74577
28,21,33.24931
29,22,29.143257
30,30,23.21474
31,33,47.604637
32,33,29.592918
33,35,41.705025
34,29,27.454088
35,22,20.79253
36,36,31.967098
37,15,29.881857
38,36,49.21427
39,45,26.168486
40,34,40.713314
41,47,50.708878
42,31,36.359215
43,79,53.777687
44,38,26.509867
45,16,29.974283
46,32,32.949997
47,49,48.564064
48,41,46.779522
49,57,36.919685
50,28,32.896824
51,36,37.42372
52,46,36.369976
53,82,40.22568
54,31,43.191628
55,50,40.392704
56,33,38.94984
57,40,41.92835
58,38,37.22449
59,22,31.308187
60,22,23.258444
61,39,33.265694
62,40,37.740936
63,40,38.138786
64,65,42.320534
65,24,42.673687
66,33,41.786835
67,36,38.969547
68,24,19.358448
69,39,41.6024
70,27,30.06453
71,20,25.927217
72,33,25.389774
73,25,37.305664
74,58,32.017036
75,56,35.273506
76,39,29.476633
77,49,47.23974
78,35,51.96459
79,40,38.810898
80,37,41.108044
81,42,41.044777
82,29,28.146511
83,77,33.998367
84,32,28.931923
85,27,37.649826
86,25,30.397005
87,31,38.993336
88,41,65.709854
89,32,53.513565
90,37,32.167732
91,32,33.37314
92,29,29.422129
93,67,39.17179
94,47,40.550842
95,54,48.464138
96,31,55.772133
97,28,19.31357
98,30,27.99708
99,38,45.432983
100,20,28.628664
101,25,34.663254
102,27,32.01324
103,24,24.551168
104,58,42.703426
105,26,32.034374
106,17,23.234009
107,36,28.071598
108,50,47.0769
109,19,32.92137
110,27,23.68407
111,20,37.65487
112,39,43.89805
113,15,23.216005
114,30,46.7255
115,27,32.58937
116,69,67.81112
117,41,40.07302
