,cycle_time_from_er_confirm,predicted_cycle_time
0,33,46.50597
1,22,19.206976
2,28,35.431152
3,22,23.112461
4,41,40.899345
5,28,33.80024
6,60,32.85291
7,64,55.264156
8,27,40.88742
9,44,46.309544
10,43,36.635216
11,17,38.480236
12,32,40.452717
13,35,32.18072
14,36,30.344818
15,47,41.511127
16,23,29.037663
17,32,29.037663
18,47,40.97384
19,30,29.335428
20,25,38.218506
21,49,33.44499
22,30,40.97384
23,28,19.206976
24,44,34.3256
25,37,42.218365
26,41,40.452717
27,32,47.14592
28,58,38.480236
29,36,28.019567
30,42,34.599297
31,36,36.894016
32,26,39.60492
33,45,37.08168
34,21,23.112461
35,39,40.452717
36,31,34.599297
37,33,33.954044
38,50,52.18479
39,33,35.614346
40,27,36.802322
41,39,36.739525
42,55,34.3256
43,40,40.515602
44,52,40.515602
45,31,35.46583
46,79,54.40059
47,38,33.80024
48,32,36.739525
49,40,33.062424
50,48,40.515602
51,43,35.431152
52,24,25.580088
53,57,36.69581
54,36,38.480236
55,31,38.712284
56,38,40.452717
57,32,29.985664
58,31,46.517235
59,49,38.480236
60,43,47.740215
61,33,40.50929
62,47,52.936268
63,27,29.037663
64,38,35.614346
65,27,34.44332
66,40,35.50137
67,34,41.511127
68,26,40.453396
69,30,32.874622
70,33,40.899345
71,33,34.289593
72,24,29.037663
73,31,35.420643
74,64,40.453396
75,22,45.506298
76,41,37.60207
77,44,45.506298
78,39,42.218365
79,20,33.062424
80,21,34.3256
81,21,36.739525
82,37,48.516994
83,28,35.431152
84,34,34.282402
85,25,34.599297
86,83,63.396233
87,29,34.599297
88,35,36.739525
89,39,29.037663
90,37,40.97384
91,34,19.206976
92,29,34.599297
93,25,29.037663
94,31,34.440895
95,31,39.945877
96,25,35.46583
97,21,42.218365
98,27,28.019567
99,21,36.802322
100,47,29.335428
101,56,61.371014
102,32,30.542183
103,47,36.739525
104,42,36.739525
105,67,37.525528
106,35,35.431152
107,34,40.934402
108,33,34.282402
109,51,66.7507
110,43,40.97384
111,30,43.517124
112,30,43.517124
113,32,38.480236
114,40,35.50137
115,27,23.47754
116,43,37.08168
117,32,33.44499
118,27,35.614346
119,57,50.137196
120,41,40.934402
121,56,47.740215
122,50,40.934402
123,42,28.019567
124,31,40.453396
125,31,40.453396
126,50,52.936268
127,24,35.46583
128,27,33.80024
129,25,36.569454
130,15,20.946224
131,30,40.934402
132,27,38.772743
133,72,49.68757
134,37,36.69581
135,44,37.113525
136,13,61.89535
137,29,40.934402
138,28,29.335428
139,33,34.599297
140,35,40.97384
141,33,36.802322
142,33,36.802322
143,22,37.113525
144,43,38.480236
145,11,36.802322
146,34,35.463074
147,36,34.440895
148,31,33.332916
149,39,47.196632
150,102,116.51473
151,31,30.542183
152,41,42.913025
153,36,40.452717
154,30,20.246866
155,9,40.97384
156,53,31.750036
