,difot,predicted_difot
0,1,0.9877538
1,1,0.99713373
2,0,0.8886637
3,1,0.9798732
4,1,0.8180833
5,1,0.8769997
6,0,0.3987502
7,1,0.99590033
8,1,0.46328208
9,1,0.74811345
10,1,0.96407604
11,1,0.6776694
12,1,0.6716165
13,1,0.99755955
14,1,0.95444363
15,1,0.42868346
16,0,0.42457378
17,1,0.974293
18,0,0.77845806
19,1,0.94070584
20,1,0.89096665
21,0,0.056655124
22,0,0.45706365
23,1,0.2942325
24,1,0.98867375
25,0,0.37383065
26,0,0.53812253
27,1,0.74862856
28,1,0.93429077
29,1,0.6055421
30,1,0.77108264
31,1,0.7692837
32,1,0.9972928
33,0,0.40743634
34,0,0.14171194
35,1,0.9160075
36,1,0.89415205
37,1,0.9943506
38,0,0.90326536
39,0,0.31534103
40,1,0.8787898
41,1,0.8413166
42,1,0.94102234
43,0,0.00641827
44,1,0.47505862
45,0,0.10654085
46,1,0.96907604
47,1,0.99849904
48,0,0.0007399314
49,1,0.980026
50,1,0.9799416
51,1,0.90305674
52,0,0.21863694
53,0,0.9560553
54,1,0.9469322
55,0,0.01207359
56,0,0.45924255
57,1,0.9835888
58,1,0.9879803
59,0,0.6448517
60,1,0.46923795
61,1,0.96933585
62,0,0.48420775
63,0,0.90662944
64,0,0.8794646
65,1,0.45734936
66,0,0.44406307
67,1,0.9480799
68,1,0.9822113
69,1,0.9101291
70,1,0.6973258
71,1,0.9780416
72,0,0.3968175
73,1,0.9280427
74,1,0.44893077
75,1,0.7019121
76,1,0.99916506
77,1,0.18995015
78,1,0.6225107
79,0,0.19055603
80,0,0.5616621
81,0,0.6406181
82,0,0.65772617
83,1,0.91759366
84,1,0.9274022
85,1,0.9124596
86,1,0.56681895
87,0,0.123819694
88,1,0.5764125
89,1,0.5478323
90,1,0.2765407
91,0,0.16827725
92,1,0.99384993
93,1,0.844805
94,1,0.39252725
95,1,0.42285374
96,1,0.86765504
97,1,0.8682321
98,1,0.9840522
99,1,0.8648865
100,1,0.6843451
101,0,0.65824354
102,1,0.3116262
103,1,0.3329923
104,0,0.22025262
105,1,0.9989334
106,1,0.4317056
107,1,0.8673235
108,1,0.73429394
109,1,0.46232593
110,1,0.021532962
111,1,0.99911135
112,1,0.89463055
113,1,0.37479824
114,1,0.9041925
115,1,0.98100257
116,1,0.9747242
117,1,0.9834748
118,1,0.34460574
119,1,0.98735994
120,0,0.8194114
121,1,0.32601464
122,1,0.6837432
123,1,0.97094065
124,1,0.94770575
125,0,0.84164286
126,0,0.07236692
127,1,0.98271286
128,0,0.92903304
129,0,0.71403944
130,1,0.9843277
131,1,0.72973347
132,1,0.9544525
133,1,0.6078833
134,1,0.8008172
135,1,0.8664883
136,1,0.8645834
137,1,0.95515734
138,0,0.08088214
139,1,0.9988387
140,0,0.29619434
141,1,0.553895
142,1,0.9993343
143,0,0.2696468
144,0,0.72570795
145,1,0.96402806
146,1,0.7075891
147,1,0.8308946
148,1,0.96623856
149,1,0.39417386
150,1,0.8940275
151,0,0.23547281
152,0,0.067289114
153,0,0.9515255
154,0,0.75180453
155,1,0.33885163
156,1,0.7710852
157,1,0.99921143
158,1,0.9787829
159,0,0.87338126
160,1,0.9994797
161,0,0.6941128
162,1,0.997686
163,0,0.41547352
164,1,0.8867079
165,1,0.998459
166,1,0.631786
167,0,0.3054865
168,1,0.5580052
169,1,0.99634945
170,1,0.12406916
171,1,0.9111459
172,1,0.83865213
173,1,0.9998505
174,1,0.94945973
175,0,0.036026716
176,1,0.9835032
177,1,0.94824845
178,0,0.08111326
179,0,0.61410016
180,1,0.9743026
181,1,0.997162
182,1,0.74500763
183,1,0.85762835
184,1,0.99089104
185,1,0.99222916
186,1,0.6983864
187,0,0.96903974
188,1,0.93424934
189,1,0.9227231
190,1,0.8135827
191,1,0.31810725
192,0,0.5783012
193,1,0.9881396
194,0,0.97078013
195,1,0.9538488
196,1,0.9910035
197,0,0.68899876
198,0,0.64036626
199,0,0.028143894
200,1,0.9664651
201,1,0.8195392
202,1,0.99579793
203,1,0.7686759
204,0,0.9823047
205,0,0.85014117
206,1,0.5832453
207,0,0.53514344
208,1,0.8443541
209,1,0.991524
210,1,0.9943768
211,0,0.6650674
212,1,0.9935569
213,1,0.33782753
214,0,0.7107648
215,1,0.99771655
216,1,0.41747558
217,1,0.34528574
218,1,0.51680946
219,1,0.9991346
220,1,0.6065026
221,1,0.9614179
222,1,0.79089403
223,1,0.10459336
224,1,0.949803
225,1,0.92365
226,1,0.96407706
227,1,0.99911314
228,0,0.22856525
229,1,0.28282535
230,1,0.33590943
231,1,0.97106475
232,0,0.37285632
233,1,0.99988544
234,1,0.6803901
235,0,0.8072771
